"Time (UTCG)","Power (W)","Solar Intensity"
28 Sep 2019 07:00:00.000,0.000,0.000000
28 Sep 2019 07:00:01.000,0.000,0.000000
28 Sep 2019 07:00:02.000,0.000,0.000000
28 Sep 2019 07:00:03.000,0.000,0.000000
28 Sep 2019 07:00:04.000,0.000,0.000000
28 Sep 2019 07:00:05.000,0.000,0.000000
28 Sep 2019 07:00:06.000,0.000,0.000000
28 Sep 2019 07:00:07.000,0.000,0.000000
28 Sep 2019 07:00:08.000,0.000,0.000000
28 Sep 2019 07:00:09.000,0.000,0.000000
28 Sep 2019 07:00:10.000,0.000,0.000000
28 Sep 2019 07:00:11.000,0.000,0.000000
28 Sep 2019 07:00:12.000,0.000,0.000000
28 Sep 2019 07:00:13.000,0.000,0.000000
28 Sep 2019 07:00:14.000,0.000,0.000000
28 Sep 2019 07:00:15.000,0.000,0.000000
28 Sep 2019 07:00:16.000,0.000,0.000000
28 Sep 2019 07:00:17.000,0.000,0.000000
28 Sep 2019 07:00:18.000,0.000,0.000000
28 Sep 2019 07:00:19.000,0.000,0.000000
28 Sep 2019 07:00:20.000,0.000,0.000000
28 Sep 2019 07:00:21.000,0.000,0.000000
28 Sep 2019 07:00:22.000,0.000,0.000000
28 Sep 2019 07:00:23.000,0.000,0.000000
28 Sep 2019 07:00:24.000,0.000,0.000000
28 Sep 2019 07:00:25.000,0.000,0.000000
28 Sep 2019 07:00:26.000,0.000,0.000000
28 Sep 2019 07:00:27.000,0.000,0.000000
28 Sep 2019 07:00:28.000,0.000,0.000000
28 Sep 2019 07:00:29.000,0.000,0.000000
28 Sep 2019 07:00:30.000,0.000,0.000000
28 Sep 2019 07:00:31.000,0.000,0.000000
28 Sep 2019 07:00:32.000,0.000,0.000000
28 Sep 2019 07:00:33.000,0.000,0.000000
28 Sep 2019 07:00:34.000,0.000,0.000000
28 Sep 2019 07:00:35.000,0.000,0.000000
28 Sep 2019 07:00:36.000,0.000,0.000000
28 Sep 2019 07:00:37.000,0.000,0.000000
28 Sep 2019 07:00:38.000,0.000,0.000000
28 Sep 2019 07:00:39.000,0.000,0.000000
28 Sep 2019 07:00:40.000,0.000,0.000000
28 Sep 2019 07:00:41.000,0.000,0.000000
28 Sep 2019 07:00:42.000,0.000,0.000000
28 Sep 2019 07:00:43.000,0.000,0.000000
28 Sep 2019 07:00:44.000,0.000,0.000000
28 Sep 2019 07:00:45.000,0.000,0.000000
